"Date","Discharge.m3s","Site","Sample"
2001-12-10,1.01242569969402e-05,"CCBP","CCBP_UP_3"
2001-12-11,1.05926953968683e-05,"CCBP","CCBP_UP_3"
2001-12-12,1.09202500674946e-05,"CCBP","CCBP_UP_3"
2001-12-13,1.24153786447084e-05,"CCBP","CCBP_UP_3"
2001-12-14,1.36146513903888e-05,"CCBP","CCBP_UP_3"
2001-12-15,2.82683202843772e-05,"CCBP","CCBP_UP_3"
2001-12-16,1.4507502024838e-05,"CCBP","CCBP_UP_3"
2001-12-17,1.37995612850972e-05,"CCBP","CCBP_UP_3"
2001-12-18,4.02363930885529e-05,"CCBP","CCBP_UP_3"
2001-12-19,2.71694271958243e-05,"CCBP","CCBP_UP_3"
2001-12-20,1.96955453563715e-05,"CCBP","CCBP_UP_3"
2001-12-21,2.08014826313895e-05,"CCBP","CCBP_UP_3"
2001-12-22,2.02573192269619e-05,"CCBP","CCBP_UP_3"
2001-12-23,1.54126799856012e-05,"CCBP","CCBP_UP_3"
2001-12-24,7.09103030507559e-05,"CCBP","CCBP_UP_3"
2001-12-25,7.28474543286537e-05,"CCBP","CCBP_UP_3"
2001-12-26,6.04355977771779e-05,"CCBP","CCBP_UP_3"
2001-12-27,4.71960493160548e-05,"CCBP","CCBP_UP_3"
2001-12-28,3.57069811915046e-05,"CCBP","CCBP_UP_3"
2001-12-29,3.13272582568394e-05,"CCBP","CCBP_UP_3"
2001-12-30,2.604764050126e-05,"CCBP","CCBP_UP_3"
2001-12-31,2.04409483604948e-05,"CCBP","CCBP_UP_3"
2002-03-22,0.00123958310272678,"CCBP","CCBP_UP_3"
2002-03-23,0.00100846686690065,"CCBP","CCBP_UP_3"
2002-03-24,0.000911517728581714,"CCBP","CCBP_UP_3"
2002-03-25,0.000845862388633909,"CCBP","CCBP_UP_3"
2002-03-26,0.000894782502587292,"CCBP","CCBP_UP_3"
2002-03-27,0.0025575204525513,"CCBP","CCBP_UP_3"
2002-03-28,0.00189498829981102,"CCBP","CCBP_UP_3"
2002-03-29,0.00134244759662977,"CCBP","CCBP_UP_3"
2002-03-30,0.00112713323209143,"CCBP","CCBP_UP_3"
2002-03-31,0.0009754718974982,"CCBP","CCBP_UP_3"
2002-04-01,0.00225821296964992,"CCBP","CCBP_UP_3"
2002-04-02,0.00181101279191415,"CCBP","CCBP_UP_3"
2002-04-03,0.0013388039911807,"CCBP","CCBP_UP_3"
2002-04-04,0.00141852657149928,"CCBP","CCBP_UP_3"
2002-04-05,0.00108271787538247,"CCBP","CCBP_UP_3"
2002-04-06,0.000933726287459503,"CCBP","CCBP_UP_3"
2002-04-07,0.000826061180480561,"CCBP","CCBP_UP_3"
2002-04-08,0.000756640722867171,"CCBP","CCBP_UP_3"
2002-04-09,0.000719848936960043,"CCBP","CCBP_UP_3"
2002-04-10,0.000676643419276458,"CCBP","CCBP_UP_3"
2002-04-11,0.000606111741248199,"CCBP","CCBP_UP_3"
2002-04-12,0.000582018269296352,"CCBP","CCBP_UP_3"
2002-04-13,0.000591237941527178,"CCBP","CCBP_UP_3"
2002-04-14,0.000573636280597552,"CCBP","CCBP_UP_3"
2002-04-15,0.000896173729414147,"CCBP","CCBP_UP_3"
2002-04-16,0.000800865886541577,"CCBP","CCBP_UP_3"
2002-04-17,0.000674591799968502,"CCBP","CCBP_UP_3"
2002-04-18,0.000596656681965443,"CCBP","CCBP_UP_3"
2002-04-19,0.000554612281017519,"CCBP","CCBP_UP_3"
2002-05-17,0.00128042031634021,"CCBP","CCBP_UP_3"
2002-05-18,0.00327062281992441,"CCBP","CCBP_UP_3"
2002-05-19,0.00296837438917387,"CCBP","CCBP_UP_3"
2002-05-20,0.00174051281272498,"CCBP","CCBP_UP_3"
2002-05-21,0.00134090139770068,"CCBP","CCBP_UP_3"
2002-05-22,0.00108994344964903,"CCBP","CCBP_UP_3"
2002-05-23,0.000923253343232541,"CCBP","CCBP_UP_3"
2002-05-24,0.000731283412639489,"CCBP","CCBP_UP_3"
2002-05-25,0.000620140238593412,"CCBP","CCBP_UP_3"
2002-05-26,0.000548509667476601,"CCBP","CCBP_UP_3"
2002-05-27,0.000492885249055076,"CCBP","CCBP_UP_3"
2002-05-28,0.00189297190143539,"CCBP","CCBP_UP_3"
2002-05-29,0.00142061869487941,"CCBP","CCBP_UP_3"
2002-05-30,0.000842055005849533,"CCBP","CCBP_UP_3"
2002-05-31,0.000623850763813895,"CCBP","CCBP_UP_3"
2002-06-01,0.000592479479391649,"CCBP","CCBP_UP_3"
2002-06-02,0.000467376488818394,"CCBP","CCBP_UP_3"
2002-06-03,0.000394347646688264,"CCBP","CCBP_UP_3"
2002-06-04,0.000348410745702843,"CCBP","CCBP_UP_3"
2002-06-05,0.000385343415339273,"CCBP","CCBP_UP_3"
2002-06-06,0.000654445426678366,"CCBP","CCBP_UP_3"
2002-06-07,0.00136035039653078,"CCBP","CCBP_UP_3"
2002-06-08,0.000954638716027718,"CCBP","CCBP_UP_3"
2002-06-09,0.000682421413224441,"CCBP","CCBP_UP_3"
2002-06-10,0.000537404507514398,"CCBP","CCBP_UP_3"
2002-06-11,0.000454182727569295,"CCBP","CCBP_UP_3"
2002-06-12,0.00063728754949604,"CCBP","CCBP_UP_3"
2002-06-13,0.00081177733137599,"CCBP","CCBP_UP_3"
2002-06-14,0.000635975569766919,"CCBP","CCBP_UP_3"
2002-06-15,0.00155522077090083,"CCBP","CCBP_UP_3"
2002-06-16,0.00150420501147408,"CCBP","CCBP_UP_3"
2002-06-17,0.00117316346854752,"CCBP","CCBP_UP_3"
2002-06-18,0.000852295491923145,"CCBP","CCBP_UP_3"
2002-06-19,0.000661815406767459,"CCBP","CCBP_UP_3"
2002-06-20,0.000542550285727141,"CCBP","CCBP_UP_3"
2002-06-21,0.000446395379432146,"CCBP","CCBP_UP_3"
2002-06-22,0.000427064370725342,"CCBP","CCBP_UP_3"
2002-06-23,0.000506334362063534,"CCBP","CCBP_UP_3"
2002-06-24,0.000457866837090532,"CCBP","CCBP_UP_3"
2002-06-25,0.000360322465015299,"CCBP","CCBP_UP_3"
2002-06-26,0.000340248294636429,"CCBP","CCBP_UP_3"
2002-06-28,0.000616708885604942,"CCBP","CCBP_UP_3"
2002-06-29,0.000504925524770518,"CCBP","CCBP_UP_3"
2002-06-30,0.000382335547718683,"CCBP","CCBP_UP_3"
2002-07-01,0.000329895101579374,"CCBP","CCBP_UP_3"
2002-07-02,0.000293673894775918,"CCBP","CCBP_UP_3"
2002-07-03,0.000261017046323793,"CCBP","CCBP_UP_3"
2002-07-04,0.000221030721854752,"CCBP","CCBP_UP_3"
2002-07-05,0.000175437224959503,"CCBP","CCBP_UP_3"
2002-07-06,0.000127388829081174,"CCBP","CCBP_UP_3"
2002-07-07,0.000107379817427106,"CCBP","CCBP_UP_3"
2002-07-08,9.01550204733621e-05,"CCBP","CCBP_UP_3"
2002-07-09,7.93738930885529e-05,"CCBP","CCBP_UP_3"
2002-07-10,7.40027009089273e-05,"CCBP","CCBP_UP_3"
2002-07-11,5.6663435925126e-05,"CCBP","CCBP_UP_3"
2002-07-12,4.93638977006839e-05,"CCBP","CCBP_UP_3"
2002-07-13,4.11239605831533e-05,"CCBP","CCBP_UP_3"
2002-07-14,3.79258999280057e-05,"CCBP","CCBP_UP_3"
2002-07-15,3.6307498087653e-05,"CCBP","CCBP_UP_3"
2002-07-16,3.26462821724263e-05,"CCBP","CCBP_UP_3"
2002-07-17,2.67943242665586e-05,"CCBP","CCBP_UP_3"
2002-07-18,2.49293758999279e-05,"CCBP","CCBP_UP_3"
2002-07-19,5.57230370320375e-05,"CCBP","CCBP_UP_3"
2002-07-20,3.40868183045356e-05,"CCBP","CCBP_UP_3"
2002-07-21,2.69123143898488e-05,"CCBP","CCBP_UP_3"
2002-07-22,2.17859076898848e-05,"CCBP","CCBP_UP_3"
2002-07-23,2.03506546976242e-05,"CCBP","CCBP_UP_3"
2002-07-24,2.91294720797336e-05,"CCBP","CCBP_UP_3"
2002-07-25,1.6354839925306e-05,"CCBP","CCBP_UP_3"
2002-07-26,1.51573282262419e-05,"CCBP","CCBP_UP_3"
2002-07-27,1.69218969357451e-05,"CCBP","CCBP_UP_3"
2002-07-28,1.7731748677497e-05,"CCBP","CCBP_UP_3"
2002-08-01,1.16797469650704e-05,"CCBP","CCBP_UP_3"
2002-08-02,1.08216314569834e-05,"CCBP","CCBP_UP_3"
2002-08-03,1.09677983261339e-05,"CCBP","CCBP_UP_3"
2002-08-04,8.46006794456444e-06,"CCBP","CCBP_UP_3"
2002-08-05,7.69401266648669e-06,"CCBP","CCBP_UP_3"
2002-08-06,6.83814401097913e-06,"CCBP","CCBP_UP_3"
2002-08-07,5.83258639308855e-06,"CCBP","CCBP_UP_3"
2002-08-08,5.7762329013679e-06,"CCBP","CCBP_UP_3"
2002-08-09,5.69346371040316e-06,"CCBP","CCBP_UP_3"
2002-08-10,5.59484509989201e-06,"CCBP","CCBP_UP_3"
2002-08-11,5.49094334953204e-06,"CCBP","CCBP_UP_3"
2002-08-12,5.23383054355651e-06,"CCBP","CCBP_UP_3"
2002-08-13,5.27257356911447e-06,"CCBP","CCBP_UP_3"
2002-08-14,5.33773229391649e-06,"CCBP","CCBP_UP_3"
2002-08-15,4.66149039326854e-06,"CCBP","CCBP_UP_3"
